"ADM3_PCODE","N","S1","S2","S3"
"300407","1492","339","4042","0"
"300408","155","2","899","0"
"300409","0","0","93","0"
"300410","2","0","453","0"
"300501","587","0","526","0"
"300502","120","0","1036","0"
"300503","1534","0","12973","0"
"300504","2456","510","1210","0"
"300601","999","369","13115","44"
"300603","232","0","8659","0"
"300604","4979","0","36056","0"
"300605","6225","0","8597","0"
"300607","232","0","3509","0"
"300610","3814","33","11778","0"
"300611","5563","0","4187","0"
"300613","2792","0","2887","0"
"300701","2","0","0","0"
"300702","886","816","10011","0"
"300703","2633","0","14063","0"
"300704","342","47147","0","7402"
"300705","45","232","0","0"
"300706","1738","836","27907","0"
"300707","252","16012","4143","13618"
"300708","1379","55","6026","0"
"300709","1963","791","8996","223"
"300710","356","0","8920","0"
"300801","576","659","6617","0"
"300802","1025","210","41954","0"
"300803","2097","769","29223","0"
"300804","3272","208","37452","0"
"300805","3178","13663","47538","1950"
"300806","4478","4533","28641","718"
"300807","379","1011","3484","0"
"300808","2723","610","41634","2988"
"300809","1362","1599","46399","0"
"300810","4866","7338","21919","6103"
"300811","360","120","1358","0"
"300812","67","136","158","0"
"300813","2243","7530","2933","3132"
"300815","3271","2789","42856","4122"
"300817","358","519","1345","0"
"300818","1749","1746","3574","0"
"300901","333","1293","4089","36"
"300902","343","34","4051","0"
"300903","399","393","4831","0"
"300904","1869","105","8353","0"
"300905","2136","2005","9555","0"
"300906","309","1947","2865","0"
"300907","250","1282","256","0"
"300908","54","424","22","0"
"300909","0","0","184","24"
"300914","456","1843","213","0"
"301001","0","0","33","0"
"301002","49","0","868","0"
"301003","5","0","63","0"
"301005","57","0","375","0"
"301008","62","0","122","0"
"301009","267","0","543","0"
"301011","0","0","12","0"
"301012","2","0","251","0"
"301014","0","0","12","0"
"301015","1","0","35","0"
"301101","40","0","294","0"
"301102","862","0","6107","0"
"301103","1","0","271","0"
"301104","35","0","1833","7"
"301105","39","0","413","0"
"301106","83","0","827","11"
"301107","38","260","1087","0"
"301201","676","0","1954","0"
"301203","118","0","593","0"
"301207","448","18","8622","0"
"301208","421","0","4879","0"
"301214","402","12","16","0"
"301215","122","0","1752","0"
"301220","186","0","1164","0"
"301224","121","0","1115","0"
"301304","1122","77","0","0"
"301306","7","0","0","0"
"301309","42","0","30","0"
"301318","7","0","0","0"
"301401","39","153","0","0"
"301402","746","5297","4272","0"
"301403","809","2833","8929","0"
"301404","402","1944","0","0"
"301405","2041","986","9215","402"
"301406","239","0","1151","0"
"301407","69","1922","0","0"
"301409","215","0","6944","0"
"301410","471","0","2179","0"
"301411","1617","4627","2867","0"
"301412","123","851","2367","0"
"301416","578","7","8366","0"
"301417","991","12496","9195","0"
"301418","389","153","5499","0"
"301419","198","0","483","0"
"301420","295","227","4727","0"
"301501","511","0","1043","0"
"301503","7187","0","21410","0"
"301504","86","0","0","0"
"301505","16","0","0","0"
"301506","972","0","24800","0"
"301507","110","0","0","0"
"301508","1910","0","19345","0"
"301509","40","0","0","0"
"301510","28","0","0","0"
"301511","34","0","0","0"
"301512","504","0","5075","0"
"301601","2240","106","6","0"
"301602","1921","113","275","0"
"301603","1453","94","0","0"
"301604","4495","96","4802","0"
"301605","4046","835","3781","0"
"301606","1946","48","0","0"
"301607","602","0","1315","0"
"301608","3273","1339","2855","76"
"301609","280","119","0","0"
"301610","31","0","0","0"
"301701","254","0","5823","453"
"301702","423","0","4907","0"
"301703","3735","1038","8748","483"
"301704","2285","492","529","3"
"301705","1930","190","487","0"
"301710","1497","35","5887","0"
"301716","1125","311","5","0"
"301717","700","0","11394","258"
"301801","843","9040","1104","129"
"301802","2405","8176","25056","0"
"301803","21","48","0","203"
"301804","159","1189","2216","0"
"301805","3506","3788","30886","159"
"301806","0","79","0","0"
"301807","3875","6642","33952","0"
"301808","4308","2071","17298","0"
"301809","904","11569","137","167"
"301810","2457","5394","13674","0"
"301811","0","587","0","0"
"301901","352","52","16873","0"
"301902","722","2764","22034","0"
"301903","667","0","8241","198"
"301904","2186","0","19864","0"
"301905","1023","34","24110","611"
"302001","1319","951","18687","0"
"302002","840","6844","1093","0"
"302003","4879","5421","36443","4528"
"302004","2049","4694","29822","787"
"302005","2717","6316","50202","3"
"302006","408","4540","9283","0"
"302007","3604","7881","11676","0"
"302008","1405","10078","24845","1067"
"302009","1829","994","7169","16"
"302010","4171","7796","12140","215"
"302011","1140","5410","12746","11439"
"302012","3954","6675","15342","98"
"302101","199","7411","141","299"
"302102","43","1864","160","143"
"302103","678","14654","527","74"
"302104","2373","2969","461","725"
"302105","1297","1437","1360","62"
"302106","372","4361","1278","8330"
"302107","1415","3530","120","908"
"302108","1803","1049","1142","440"
"302109","361","7374","661","1219"
"302110","554","5686","686","173"
"302111","358","3172","157","1352"
"302112","77","996","1915","497"
"302201","590","51151","123","7730"
"302202","3645","0","6513","0"
"302203","393","1303","0","292"
"302204","811","68583","1984","16378"
"302205","286","4367","3854","5646"
"302206","627","77784","984","5180"
"302207","1752","605","17438","4493"
"302208","587","130765","606","10150"
"302209","136","838","0","4703"
"302301","783","8","1413","0"
"302302","66","251","231","10"
"302303","807","0","5985","0"
"302304","124","0","1392","0"
"302305","250","0","538","0"
"302401","5","0","258","0"
"302402","55","0","678","0"
"302403","4","0","75","0"
"302405","0","0","10","0"
"302501","176","1770","489","3097"
"302502","491","607","1187","6602"
"302503","539","629","568","2933"
"302504","616","872","9307","0"
"302505","0","1330","971","0"
"302601","5192","1656","24796","6624"
"302602","3497","2251","16075","4064"
"302603","5344","4226","7266","7913"
"302604","2779","3113","16185","1036"
"302801","29","443","1036","104"
"302802","1089","681","6404","0"
"302803","209","195","349","130"
"302804","1853","2046","17996","173"
"302805","94","93","5627","0"
"302901","1057","0","6623","0"
"302902","2393","14","6223","0"
"302903","3342","8","10236","0"
"302904","198","0","4416","0"
"303001","244","0","988","0"
"303002","929","47","1216","0"
"303003","576","0","3436","0"
"303004","515","0","1295","0"
"303103","12","0","0","0"
"303104","0","50","0","22"
"303105","217","0","2","14"
"303201","635","0","760","0"
"303202","29","0","2847","0"
"303203","129","0","1009","0"
"303204","77","0","843","389"
"303205","93","0","29014","0"
"310102","14","0","0","0"
"310106","0","0","46","0"
"310112","39","0","18","0"
"310113","27","0","0","0"
"310117","49","0","106","0"
"310125","0","0","0","61"
"310126","71","0","0","0"
"310201","1034","0","2639","0"
"310202","306","0","145","0"
"310203","30","0","0","0"
"310204","28","0","686","0"
"310205","626","0","4237","0"
"310206","48","0","197","0"
